id,exact+AF8-time+AF8-before+AF8-event,exact+AF8-time+AF8-after+AF8-event,model+AF8-type,val+AF8-fold,in+AF8-channels,hidden+AF8-channels,hidden+AF8-size,kernel+AF8-sizes,d+AF8-model,nhead,num+AF8-layers,bidirectional,dim+AF8-feedforward,dropout+AF8-rate
201950,1500,0,LSTM,2,28,256,,,,,4,True,,+ACI-0,5+ACI-
201960,1500,0,LSTM,0,28,16,,,,,5,False,,+ACI-0,4+ACI-
201970,2300,200,LSTM,1,28,32,,,,,2,False,,+ACI-0,3+ACI-
201980,450,50,LSTM,2,28,64,,,,,3,True,,+ACI-0,5+ACI-
201990,900,100,LSTM,1,28,128,,,,,4,False,,+ACI-0,3+ACI-
202000,500,0,LSTM,2,28,256,,,,,5,True,,+ACI-0,3+ACI-
202010,300,200,LSTM,0,28,16,,,,,2,True,,+ACI-0,3+ACI-
202020,2700,300,LSTM,1,28,32,,,,,3,False,,+ACI-0,4+ACI-
202030,200,50,LSTM,2,28,64,,,,,4,True,,+ACI-0,3+ACI-
202040,600,150,LSTM,0,28,128,,,,,5,False,,+ACI-0,5+ACI-
202050,2000,0,LSTM,2,28,256,,,,,2,False,,+ACI-0,4+ACI-
202060,1700,300,LSTM,0,28,16,,,,,3,True,,+ACI-0,5+ACI-
202070,2200,300,LSTM,1,28,32,,,,,4,False,,+ACI-0,5+ACI-
202080,2500,0,LSTM,2,28,64,,,,,5,True,,+ACI-0,4+ACI-
202090,1200,300,LSTM,0,28,128,,,,,2,True,,+ACI-0,4+ACI-
202100,2900,100,LSTM,1,28,256,,,,,3,False,,+ACI-0,3+ACI-
202110,2800,200,LSTM,2,28,16,,,,,4,True,,+ACI-0,5+ACI-
202120,700,50,LSTM,0,28,32,,,,,5,False,,+ACI-0,3+ACI-
202130,450,50,LSTM,1,28,64,,,,,2,False,,+ACI-0,3+ACI-
202140,650,100,LSTM,2,28,128,,,,,3,True,,+ACI-0,5+ACI-
202150,1200,300,LSTM,0,28,256,,,,,4,False,,+ACI-0,5+ACI-
202160,400,100,LSTM,1,28,16,,,,,5,True,,+ACI-0,3+ACI-
202170,2500,0,LSTM,1,28,32,,,,,2,True,,+ACI-0,3+ACI-
202180,150,100,LSTM,2,28,64,,,,,3,False,,+ACI-0,3+ACI-
202190,2700,300,LSTM,1,28,128,,,,,4,True,,+ACI-0,4+ACI-
202200,2700,300,LSTM,2,28,256,,,,,5,False,,+ACI-0,3+ACI-
202210,2400,100,LSTM,1,28,16,,,,,2,False,,+ACI-0,5+ACI-
202220,750,0,LSTM,2,28,32,,,,,3,True,,+ACI-0,5+ACI-
202230,1800,200,LSTM,1,28,64,,,,,4,False,,+ACI-0,5+ACI-
202240,750,0,LSTM,2,28,128,,,,,5,True,,+ACI-0,3+ACI-
202250,2400,100,LSTM,0,28,256,,,,,2,True,,+ACI-0,5+ACI-
202260,1500,0,LSTM,2,28,16,,,,,3,False,,+ACI-0,5+ACI-
202270,1900,100,LSTM,1,28,32,,,,,4,True,,+ACI-0,4+ACI-
202280,550,200,LSTM,1,28,64,,,,,5,False,,+ACI-0,3+ACI-
202290,2300,200,LSTM,2,28,128,,,,,2,False,,+ACI-0,3+ACI-
202300,450,50,LSTM,0,28,256,,,,,3,True,,+ACI-0,4+ACI-
202310,400,100,LSTM,1,28,16,,,,,4,False,,+ACI-0,4+ACI-
202320,600,150,LSTM,0,28,32,,,,,5,True,,+ACI-0,3+ACI-
202330,2000,0,LSTM,1,28,64,,,,,2,True,,+ACI-0,5+ACI-
202340,900,100,LSTM,0,28,128,,,,,3,False,,+ACI-0,5+ACI-
202350,400,100,LSTM,0,28,256,,,,,4,True,,+ACI-0,3+ACI-
202360,1900,100,LSTM,1,28,16,,,,,5,False,,+ACI-0,4+ACI-
202370,1400,100,LSTM,2,28,32,,,,,2,False,,+ACI-0,3+ACI-
202380,1200,300,LSTM,0,28,64,,,,,3,True,,+ACI-0,5+ACI-
202390,450,50,LSTM,1,28,128,,,,,4,False,,+ACI-0,5+ACI-
202400,300,200,LSTM,2,28,256,,,,,5,True,,+ACI-0,4+ACI-
202410,1000,0,LSTM,0,28,16,,,,,2,True,,+ACI-0,5+ACI-
202420,2800,200,LSTM,1,28,32,,,,,3,False,,+ACI-0,4+ACI-
202430,250,0,LSTM,2,28,64,,,,,4,True,,+ACI-0,5+ACI-
202440,1900,100,LSTM,0,28,128,,,,,5,False,,+ACI-0,3+ACI-
202450,2800,200,LSTM,1,28,256,,,,,2,False,,+ACI-0,3+ACI-
202460,800,200,LSTM,2,28,16,,,,,3,True,,+ACI-0,5+ACI-
202470,2700,300,LSTM,0,28,32,,,,,4,False,,+ACI-0,3+ACI-
202480,900,100,LSTM,1,28,64,,,,,5,True,,+ACI-0,5+ACI-
202490,300,200,LSTM,2,28,128,,,,,2,True,,+ACI-0,4+ACI-
202500,100,0,LSTM,0,28,256,,,,,3,False,,+ACI-0,4+ACI-
202510,800,200,LSTM,2,28,16,,,,,4,True,,+ACI-0,5+ACI-
202520,1300,200,LSTM,0,28,32,,,,,5,False,,+ACI-0,3+ACI-
202530,550,200,LSTM,1,28,64,,,,,2,False,,+ACI-0,5+ACI-
202540,1500,0,LSTM,2,28,128,,,,,3,True,,+ACI-0,5+ACI-
202550,1200,300,LSTM,1,28,256,,,,,4,False,,+ACI-0,5+ACI-
202560,750,0,LSTM,2,28,16,,,,,5,True,,+ACI-0,5+ACI-
202570,100,0,LSTM,0,28,32,,,,,2,True,,+ACI-0,4+ACI-
202580,600,150,LSTM,2,28,64,,,,,3,False,,+ACI-0,4+ACI-
202590,550,200,LSTM,0,28,128,,,,,4,True,,+ACI-0,5+ACI-
202600,2300,200,LSTM,1,28,256,,,,,5,False,,+ACI-0,5+ACI-
202610,1800,200,LSTM,2,28,16,,,,,2,False,,+ACI-0,5+ACI-
202620,700,300,LSTM,0,28,32,,,,,3,True,,+ACI-0,3+ACI-
202630,900,100,LSTM,1,28,64,,,,,4,False,,+ACI-0,5+ACI-
202640,1500,0,LSTM,2,28,128,,,,,5,True,,+ACI-0,3+ACI-
202650,400,100,LSTM,1,28,256,,,,,2,True,,+ACI-0,4+ACI-
202660,2700,300,LSTM,2,28,16,,,,,3,False,,+ACI-0,5+ACI-
202670,600,150,LSTM,2,28,32,,,,,4,True,,+ACI-0,5+ACI-
202680,1800,200,LSTM,0,28,64,,,,,5,False,,+ACI-0,4+ACI-
202690,2500,0,LSTM,1,28,128,,,,,2,False,,+ACI-0,5+ACI-
202700,250,0,LSTM,0,28,256,,,,,3,True,,+ACI-0,4+ACI-
202710,350,150,LSTM,1,28,16,,,,,4,False,,+ACI-0,3+ACI-
202720,650,100,LSTM,2,28,32,,,,,5,True,,+ACI-0,3+ACI-
202730,500,250,LSTM,0,28,64,,,,,2,True,,+ACI-0,4+ACI-
